Bureau,Nom,LatLon,Adresse
609,Bureau 609 - Ecole Elémentaire Anquetil,"[49.2653701, 4.0233921]","23 rue Anquetil, 51100 Reims, 51100 Reims"
406,Bureau 406 - Ecole Elémentaire Martin Peller,"[49.2469729, 4.017670499999999]","14 rue Passe Demoiselles, 51100 Reims"
610,Bureau 610 - Salle Municipale Saint-Thierry,"[49.26531319999999, 4.0214371]","17 rue Saint Thierry, 51100 Reims"
303,Bureau 303 - Ecole Elémentaire Sculpteurs Jacques,"[49.2446029, 4.0088332]","15 rue des Sculpteurs Jacques, 51100 Reims"
611,Bureau 611 - Salle Municipale Saint-Thierry,"[49.26531319999999, 4.0214371]","17 rue Saint Thierry, 51100 Reims"
608,Bureau 608 - Salle Municipale Goulin,"[49.26773290000001, 4.025648299999999]","4 rue de la Neuvillette, 51100 Reims"
302,Bureau 302 - Ecole Elémentaire Sculpteurs Jacques,"[49.2446029, 4.0088332]","15 rue des Sculpteurs Jacques, 51100 Reims"
506,Bureau 506 - Ecole Maternelle Galliéni,"[49.2803234, 4.024693699999999]","6 rue Maréchal Galliéni, 51100 Reims"
715,Bureau 715 - Ecole Elémentaire Carteret,"[49.2588043, 4.0482059]","30 boulevard Carteret, 51100 Reims"
710,Bureau 710 - Ecole Elémentaire Dauphinot,"[49.2612551, 4.057214399999999]","43 boulevard Dauphinot, 51100 Reims"
607,Bureau 607 - Salle Municipale Goulin,"[49.26773290000001, 4.025648299999999]","4 rue de la Neuvillette, 51100 Reims"
909,Bureau 909 - Maison de la Vie Associative,"[49.2462753, 4.0414118]","9 rue Eugène Wiet, 51100 Reims"
703,Bureau 703 - Amicale Jamin,"[49.2643279, 4.044527299999999]","2 rue de Bétheny, 51100 Reims, 51100 Reims"
708,Bureau 708 - Ecole Maternelle Paul Bert,"[49.267666, 4.069099599999999]","2 rue de Sidi Bel Abbes, 51100 Reims, 51100 Reims"
716,Bureau 716 - Ecole Maternelle Général Carré,"[49.2558549, 4.057081999999999]","4ter rue du Général Carré, 51100 Reims"
717,Bureau 717 - Ecole Maternelle Général Carré,"[49.2558549, 4.057081999999999]","4ter rue du Général Carré, 51100 Reims"
711,Bureau 711 - Ecole Elémentaire Dauphinot,"[49.2612551, 4.057214399999999]","43 boulevard Dauphinot, 51100 Reims"
904,Bureau 904 - Ecole Elémentaire Ruisselet,"[49.2453669, 4.0372902]","10 rue du Ruisselet, 51100 Reims"
109,Bureau 109 - Ecole Elémentaire Université,"[49.2514951, 4.038408899999999]","1bis rue des Murs, 51100 Reims"
712,Bureau 712 - Ecole Elémentaire Dauphinot,"[49.2616244, 4.0576912]","2 rue d'Archiac, 51100 Reims"
713,Bureau 713 - Ecole Elémentaire Dauphinot,"[49.2616244, 4.0576912]","2 rue d'Archiac, 51100 Reims"
105,Bureau 105 - Ecole Maternelle Jard,"[49.2499403, 4.0343544]","15 rue du Jard, 51100 Reims"
103,Bureau 103 - Ecole Maternelle Jamin,"[49.262635, 4.043785]","2 rue Montesquieu, 51100 Reims"
116,Bureau 116 - Ecole Maternelle Pommery,"[49.2488115, 4.051758599999999]","182 boulevard Pommery, 51100 Reims"
111,Bureau 111 - Ecole Elémentaire Voltaire,"[49.2539188, 4.0377481]","2 place Barrée, 51100 Reims"
702,Bureau 702 - Salle de Sport,"[49.26889509999999, 4.0259254]","99 rue Emile Zola, 51100 Reims"
613,Bureau 613 - Ecole Maternelle Clairmarais,"[49.2602193, 4.0158939]","117 rue du Mont d'Arène, 51100 Reims"
612,Bureau 612 - Ecole Maternelle Clairmarais,"[49.2594942, 4.0149514]","119 rue du Mont d'Arène, 51100 Reims"
107,Bureau 107 - Conservatoire à Rayonnement Régional,"[49.2500619, 4.0356949]","20 rue Gambetta, 51100 Reims"
508,Bureau 508 - Ecole Maternelle Neuvillette,"[49.285787, 4.005836]","2 rue des Ecoles - La Neuvillette, 51100 Reims"
308,Bureau 308 - Ecole Elémentaire Provençaux,"[49.231418, 4.007657]","1 allée des Provençaux, 51100 Reims"
911,Bureau 911 - Ecole Maternelle Yser,"[49.2500332, 4.0540109]","16 avenue de l'Yser, 51100 Reims"
212,Bureau 212 - Ecole Elémentaire Sully,"[49.2104624, 4.025082400000001]","3 rue Arthur Honegger, 51100 Reims"
606,Bureau 606 - Ecole Elémentaire Jean Macé,"[49.2763708, 4.0217862]","15 boulevard des Belges, 51100 Reims"
113,Bureau 113 - Gymnase Barbusse,"[49.2565163, 4.051881799999999]","34 rue Henri Barbusse, 51100 Reims"
502,Bureau 502 - Ecole Maternelle Desbureaux,"[49.27314579999999, 4.0299438]","29 rue Desbureaux, 51100 Reims"
906,Bureau 906 - Ecole Elémentaire Tournebonneau,"[49.2415312, 4.0390089]","8 rue Tournebonneau, 51100 Reims"
914,Bureau 914 - Salle Moulin Huon,"[49.23240260000001, 4.0476656]","54 rue Albert Thomas, 51100 Reims"
101,Bureau 101 - Le Cellier,"[49.2584032, 4.0322568]","4bis rue de Mars, 51100 Reims"
510,Bureau 510 - Ecole Elémentaire Neuvillette,"[49.28582160000001, 4.005306099999999]","2 rue Gaston Ernst - La Neuvillette, 51100 Reims"
307,Bureau 307 - Ecole Maternelle Avranches,"[49.23679629999999, 4.0171622]","1 rue d'Avranches, 51100 Reims"
902,Bureau 902 - Ecole Elémentaire Louvois,"[49.2389853, 4.0315521]","3 rue de Louvois, 51100 Reims"
210,Bureau 210 - Ecole Elémentaire Sully,"[49.2104624, 4.025082400000001]","3 rue Arthur Honegger, 51100 Reims"
310,Bureau 310 - Ecole Elémentaire Newton,"[49.2260461, 4.0087429]","82 rue Newton, 51100 Reims"
301,Bureau 301 - Ecole Maternelle Sculpteurs Jacques,"[49.2446029, 4.0088332]","15 rue des Sculpteurs Jacques, 51100 Reims"
204,Bureau 204 - Ecole Maternelle Docteur Roux,"[49.2326787, 4.0261531]","29 chemin des Charbonniers, 51100 Reims"
903,Bureau 903 - Ecole Elémentaire Louvois,"[49.2389853, 4.0315521]","3 rue de Louvois, 51100 Reims"
805,Bureau 805 - Ecole Maternelle Vasco de Gama,"[49.22811859999999, 4.0334885]","10 boulevard Vasco de Gama, 51100 Reims"
505,Bureau 505 - Ecole Maternelle Galliéni,"[49.2803234, 4.024693699999999]","6 rue Maréchal Galliéni, 51100 Reims"
203,Bureau 203 - Ecole Maternelle Docteur Roux,"[49.2326787, 4.0261531]","29 chemin des Charbonniers, 51100 Reims"
108,Bureau 108 - Conservatoire à Rayonnement Régional,"[49.2500619, 4.0356949]","20 rue Gambetta, 51100 Reims"
504,Bureau 504 - Ecole Maternelle Charles Péguy,"[49.2825992, 4.0296463]","3 rue Charles Peguy, 51100 Reims"
209,Bureau 209 - Ecole Maternelle Mazarin,"[49.2145558, 4.0254683]","29 rue André Chenier, 51100 Reims"
803,Bureau 803 - Ecole Elémentaire Tixier-Mougne,"[49.22489849999999, 4.0401455]","5 rue Pierre Mougne, 51100 Reims"
311,Bureau 311 - Ecole Elémentaire Newton,"[49.2260461, 4.0087429]","82 rue Newton, 51100 Reims"
304,Bureau 304 - Ecole Elémentaire Hippodrome,"[49.2339037, 4.0060558]","1 rue de Rilly la Montagne, 51100 Reims"
704,Bureau 704 - Amicale Jamin,"[49.2643279, 4.044527299999999]","2 rue de Bétheny, 51100 Reims"
501,Bureau 501 - Ecole Elémentaire Desbureaux,"[49.27314579999999, 4.0299438]","29 rue Desbureaux, 51100 Reims"
602,Bureau 602 - Ecole Elémentaire Trois Fontaines,"[49.2775562, 4.008236]","330 rue Paul Vaillant Couturier, 51100 Reims"
201,Bureau 201 - Complexe Sportif René Tys,"[49.2429603, 4.025175]","3 impasse Léo Lagrange, 51100 Reims"
910,Bureau 910 - Ecole Maternelle Yser,"[49.2500332, 4.0540109]","16 avenue de l'Yser, 51100 Reims"
604,Bureau 604 - Ecole Elémentaire Charles Arnould,"[49.2652125, 4.0120224]","123 boulevard Charles Arnould, 51100 Reims"
907,Bureau 907 - Ecole Elémentaire Tournebonneau,"[49.2415312, 4.0390089]","8 rue Tournebonneau, 51100 Reims"
603,Bureau 603 - Ecole Maternelle Trois Fontaines,"[49.2771131, 4.009837399999999]","253 rue Paul Vaillant Couturier, 51100 Reims"
601,Bureau 601 - Ecole Elémentaire Trois Fontaines,"[49.2775562, 4.008236]","330 rue Paul Vaillant Couturier, 51100 Reims"
206,Bureau 206 - Ecole Maternelle Jean D’Aulan,"[49.2243991, 4.0205209]","7 rue Jean d'Aulan, 51100 Reims"
714,Bureau 714 - Ecole Elémentaire Carteret,"[49.2588043, 4.0482059]","30 boulevard Carteret, 51100 Reims"
106,Bureau 106 - Ecole Maternelle Jard,"[49.2499403, 4.0343544]","15 rue du Jard, 51100 Reims"
312,Bureau 312 - Ecole Elémentaire Blanche Cavarrot,"[49.2251922, 4.0146404]","4 allée Blanche Cavarrot, 51100 Reims"
701,Bureau 701 - Salle de Sport,"[49.26889509999999, 4.0259254]","99 rue Emile Zola, 51100 Reims"
706,Bureau 706 - Ecole Maternelle Prieur de la Marne,"[49.2639408, 4.0485956]","place Marguerite Rousselet, 51100 Reims"
913,Bureau 913 - Ecole Maternelle Danube,"[49.2543704, 4.0643274]","3 rue du Danube, 51100 Reims"
801,Bureau 801 - Ecole Elémentaire Jules Ferry,"[49.23544649999999, 4.047439]","20 rue Albert Thomas, 51100 Reims"
901,Bureau 901 - Ecole Elémentaire Barthou,"[49.2347213, 4.0312326]","9 boulevard Louis Barthou, 51100 Reims"
207,Bureau 207 - Ecole Elémentaire Turenne,"[49.2211233, 4.030653099999999]","22 rue Turenne, 51100 Reims"
208,Bureau 208 - Ecole Maternelle Mazarin,"[49.2145558, 4.0254683]","29 rue André Chenier, 51100 Reims"
614,Bureau 614 - Ecole Maternelle Clairmarais,"[49.2602193, 4.0158939]","117 rue du Mont d'Arène, 51100 Reims"
114,Bureau 114 - Ecole Maternelle Pommery,"[49.2488115, 4.051758599999999]","182 boulevard Pommery, 51100 Reims"
202,Bureau 202 - Ecole Elémentaire Ravel,"[49.2383312, 4.0202696]","5 rue Bernard Fresson, 51100 Reims"
503,Bureau 503 - Ecole Maternelle SNCF,"[49.2757611, 4.0312054]","81 boulevard des Belges, 51100 Reims"
115,Bureau 115 - Ecole Maternelle Pommery,"[49.2488115, 4.051758599999999]","182 boulevard Pommery, 51100 Reims"
112,Bureau 112 - Gymnase Endi Miyen,"[49.2565163, 4.051881799999999]","34 rue Henri Barbusse, 51100 Reims"
912,Bureau 912 - Ecole Elémentaire Adriatique,"[49.248818, 4.0643313]","13 rue de l'Adriatique, 51100 Reims"
110,Bureau 110 - Ecole Maternelle Voltaire,"[49.2541305, 4.0373635]","15 rue Saint Symphorien, 51100 Reims"
707,Bureau 707 - Ecole Maternelle Prieur de la Marne,"[49.2639408, 4.0485956]","place Marguerite Rousselet, 51100 Reims"
309,Bureau 309 - Ecole Elémentaire Joliot Curie,"[49.2299296, 4.0028631]","9 rue Joliot Curie, 51100 Reims"
804,Bureau 804 - Ecole Maternelle La Pérouse,"[49.22134339999999, 4.0371549]","85 rue la Pérouse, 51100 Reims"
305,Bureau 305 - Ecole Elémentaire Docteur Billard,"[49.2369263, 4.0074751]","8 rue Docteur Billard, 51100 Reims"
306,Bureau 306 - Ecole Elémentaire Gilberte et Jean Droit,"[49.2393317, 4.0105081]","43 rue Gilberte et Jean Droit, 51100 Reims"
802,Bureau 802 - Ecole Elémentaire Tixier-Mougne,"[49.22489849999999, 4.0401455]","5 rue Pierre Mougne, 51100 Reims"
205,Bureau 205 - Ecole Elémentaire Maison Blanche,"[49.231831, 4.015381]","3 boulevard du Chili, 51100 Reims"
404,Bureau 404 - Ecole Maternelle Martin Peller,"[49.2466981, 4.0165435]","39 rue de Courlancy, 51100 Reims"
705,Bureau 705 - Amicale Jamin,"[49.2643279, 4.044527299999999]","2 rue de Bétheny, 51100 Reims"
405,Bureau 405 - Ecole Maternelle Martin Peller,"[49.2466981, 4.0165435]","39 rue de Courlancy, 51100 Reims"
605,Bureau 605- Ecole Maternelle Jardelle,"[49.2702785, 4.015445]","15 rue Roger Jardelle, 51100 Reims"
403,Bureau 403 - Ecole Maternelle Pouply,"[49.2540391, 4.0260675]","18 rue Jeanne d'Arc, 51100 Reims"
102,Bureau 102 - Le Cellier,"[49.2584032, 4.0322568]","4bis rue de Mars, 51100 Reims"
402,Bureau 402 - Ecole Maternelle Pouply,"[49.2543748, 4.0257482]","20 rue Jeanne d'Arc, 51100 Reims"
509,Bureau 509 - Ecole Elémentaire Neuvillette,"[49.28582160000001, 4.005306099999999]","2 rue Gaston Ernst - La Neuvillette, 51100 Reims"
507,Bureau 507 - Ecole Maternelle Charpentier,"[49.2783559, 4.0174511]","16 rue Léopold Charpentier, 51100 Reims"
401,Bureau 401 - Hôtel de Ville,"[49.2577254, 4.0320429]","place de l'Hôtel de Ville, 51100 Reims"
709,Bureau 709 - Ecole Elémentaire Paul Bert,"[49.267371, 4.069382]","4 rue de Sidi Bel Abbes, 51100 Reims, 51100 Reims"
104,Bureau 104 - Salle d’Exposition,"[49.2528002, 4.0291176]","1 rue Henri Jadart, 51100 Reims"
908,Bureau 908 - Maison de la Vie Associative,"[49.2462753, 4.0414118]","9 rue Eugène Wiet, 51100 Reims, 51100 Reims"
905,Bureau 905 - Ecole Elémentaire Ruisselet,"[49.2453669, 4.0372902]","10 rue du Ruisselet, 51100 Reims, 51100 Reims"
211,Bureau 211 - Ecole Elémentaire Sully,"[49.2104624, 4.025082400000001]","3 rue Arthur Honegger, 51100 Reims"
